"Gross Domestic Product and Gross National Product by State, statistical"
"indicator and Quarter"

" "," ","1995Q1","1995Q2","1995Q3","1995Q4","1996Q1","1996Q2","1996Q3","1996Q4","1997Q1","1997Q2","1997Q3","1997Q4","1998Q1","1998Q2","1998Q3","1998Q4","1999Q1","1999Q2","1999Q3","1999Q4","2000Q1","2000Q2","2000Q3","2000Q4","2001Q1","2001Q2","2001Q3","2001Q4","2002Q1","2002Q2","2002Q3","2002Q4","2003Q1","2003Q2","2003Q3","2003Q4","2004Q1","2004Q2","2004Q3","2004Q4","2005Q1","2005Q2","2005Q3","2005Q4","2006Q1","2006Q2","2006Q3","2006Q4","2007Q1","2007Q2","2007Q3","2007Q4","2008Q1","2008Q2","2008Q3","2008Q4","2009Q1","2009Q2","2009Q3","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4"
"State"
" ","GVA at Constant Basic Prices (chain linked annually ref to 2016)  (Euro Million)",19077,19797,20198,20031,20678,21607,21395,21344,22149,23650,23713,24193,24337,25321,26119,25461,26550,26976,28450,29193,28450,30266,30499,32130,30872,32522,31800,33490,32740,34406,33770,35839,33306,35343,33792,37820,35692,38137,35931,39044,37345,39962,37336,41071,39355,41231,39943,41732,42720,43799,41509,44574,42423,43169,41868,40770,40611,41723,40000,39843,40631,42215,41470,41187,42343,44181,43470,43052,42356,44351,43151,43414,41471,44255,45096,44314,45165,47589,49093,48509,59362,58324,61858,61841,60365,60002,62698,70035,61981,64278,71345,74499,68454,70519,75051,76903
" ","Taxes on Products (chain linked annually ref to 2016) (Euro Million)",2378,2548,2630,2736,2646,2817,2903,2994,3013,3208,3306,3409,3371,3563,3660,3802,3802,4023,4131,4254,4810,4041,4895,4122,4701,3730,4676,4274,4786,3877,5057,4580,5017,3937,5409,4912,5569,4471,5853,5209,6094,4912,6674,5474,6887,5245,7205,5947,7207,5424,6691,5448,6165,4350,5746,4149,4487,3567,5072,3980,4511,3487,5133,3936,4498,3248,4683,3846,4431,3282,4938,3751,4604,3380,5061,3930,4756,3915,5125,4657,5147,4234,5639,4741,5719,4557,5819,4978,5981,4286,6207,5352,5994,4501,6643,5353
" ","Subsidies on Products (chain linked annually ref to 2016) (Euro Million)",-368,-408,-634,-680,-426,-465,-726,-763,-482,-604,-534,-812,-454,-617,-459,-882,-430,-537,-491,-773,-539,-523,-367,-787,-355,-333,-444,-700,-403,-527,-499,-881,-414,-507,-516,-793,-508,-539,-446,-705,-291,-341,-317,-588,-246,-272,-351,-287,-283,-310,-390,-243,-339,-312,-365,-249,-284,-311,-343,-360,-287,-232,-300,-344,-250,-251,-281,-330,-238,-256,-279,-357,-245,-263,-287,-282,-214,-231,-250,-282,-193,-209,-233,-256,-204,-219,-238,-273,-210,-226,-246,-277,-209,-224,-243,-277
" ","GDP at Constant (chain linked annually ref to 2016) Market Prices (Euro Million)",21099,21954,22194,22094,22914,23979,23578,23587,24707,26276,26517,26807,27286,28298,29357,28410,29953,30493,32123,32711,32730,33830,35038,35528,35233,35992,36059,37136,37143,37860,38346,39633,37915,38886,38675,42026,40746,42176,41307,43621,43117,44603,43627,46017,45922,46265,46714,47410,49585,48985,47781,49852,48262,47284,47274,44739,44855,45012,44774,43498,44896,45501,46351,44815,46637,47176,47920,46587,46614,47339,47907,46804,45910,47345,49958,47973,49775,51275,54037,52924,64338,62314,67303,66303,65874,64343,68274,74747,67752,68338,77307,79574,74239,74796,81451,81979
" ","Net Factor Income from Rest of World (chain linked annually ref to 2016) (Euro Million)",-1897,-1890,-1458,-1621,-2097,-2089,-1611,-1791,-2554,-2544,-1962,-2181,-2381,-2846,-3140,-2531,-2775,-3276,-4148,-3812,-3559,-3234,-4307,-4392,-4200,-4980,-5207,-5183,-6047,-6002,-5974,-6416,-5910,-5845,-5379,-6054,-6007,-6348,-5923,-6108,-6502,-7586,-5972,-6150,-6780,-6551,-7555,-5576,-8188,-8331,-6896,-7247,-6928,-7234,-7892,-6233,-8086,-8547,-8554,-7280,-8630,-8680,-7619,-5604,-9150,-9645,-8951,-8715,-9726,-9333,-9200,-8551,-7694,-8878,-7866,-6383,-8270,-8842,-8549,-7242,-16066,-11435,-17833,-15618,-11242,-11736,-14675,-13429,-13697,-15751,-15182,-16398,-15029,-15740,-16922,-19036
" ","GNP at Constant (chain linked annually ref to 2016) Market Prices (Euro Million)",19481,20405,21356,20988,21143,22278,22551,22299,22392,24059,25137,25131,25351,25775,26482,26325,27598,27516,28091,29134,29485,31073,30898,31296,31253,31027,30800,31954,30951,31742,32274,33069,31895,32951,33254,35904,34659,35743,35306,37433,36528,36916,37575,39785,39052,39619,39079,41716,41397,40676,40796,42517,41234,39997,39396,38394,36798,36523,36282,36209,36329,36881,38717,39089,37469,37509,38955,37858,36855,37986,38691,38249,38250,38463,42152,41696,41553,42478,45546,45754,48216,50912,49389,50646,54644,52610,53577,61324,54055,52587,62125,63177,59210,59055,64528,62943
" ","GVA at Current Basic Prices (Euro Million)",11795,12491,12254,12668,13120,13688,13276,13986,14382,15570,15491,16739,17072,17951,18300,18595,19493,19961,20997,22212,22453,24117,23943,26097,26414,27736,26948,28607,29257,30932,30326,32268,31248,33135,31409,35233,33641,35772,33597,36666,36061,38560,36384,39900,39351,41325,40113,41843,43134,44278,42059,44864,42494,43106,41597,41239,39386,40047,37815,37603,37754,38635,38171,37962,38136,40064,39289,38797,39335,40652,40161,39854,39094,41321,42156,41435,42043,44550,45754,45418,59854,58443,61921,63377,60836,59682,62615,69969,62392,64831,71772,74179,71793,71880,75033,78033
" ","Taxes on Products at Current Prices (Euro Million)",1624,1740,1796,1868,1793,1921,1983,2062,2042,2188,2258,2349,2328,2495,2575,2678,2666,2856,2948,3066,3518,3019,3710,3168,3620,2938,3707,3417,3859,3193,4182,3836,4244,3365,4611,4202,4787,3889,5120,4580,5353,4369,5986,4940,6245,4845,6735,5604,6862,5260,6551,5382,6138,4410,5865,4197,4399,3451,4858,3792,4273,3327,4925,3784,4357,3188,4603,3797,4384,3278,4937,3743,4598,3393,5077,3929,4754,3942,5158,4655,5117,4248,5666,4733,5677,4578,5853,4963,5968,4313,6254,5364,5998,4538,6744,5402
" ","Subsidies on Products at Current Prices  (Euro Million)",-248,-275,-429,-460,-284,-313,-492,-521,-322,-407,-360,-555,-308,-427,-318,-616,-297,-375,-344,-551,-388,-385,-272,-599,-268,-258,-347,-555,-321,-431,-408,-734,-348,-431,-437,-676,-435,-468,-389,-618,-253,-301,-282,-529,-221,-250,-326,-269,-269,-299,-380,-239,-337,-316,-372,-251,-278,-300,-329,-343,-272,-221,-287,-330,-242,-247,-276,-325,-235,-256,-280,-357,-244,-265,-289,-283,-214,-232,-252,-283,-193,-210,-235,-256,-202,-220,-241,-271,-209,-226,-248,-279,-209,-226,-247,-279
