"New Dwelling Completion (Number) by Type of House, Local Authority and"
"Quarter"

" "," ","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1"
"Single house"
" ","All Local Authorities",1156,1194,1197,1267,797,847,868,989,638,721,727,861,625,712,728,910,659,735,879,979,698,887,979,1096,872,1035,1128,1226,971,1152,1206,1359,1098
" ","Carlow (County Council)",17,16,22,33,16,9,11,16,6,9,16,8,11,4,16,10,10,13,20,17,10,12,11,17,9,12,14,15,13,21,13,15,13
" ","Cavan (County Council)",21,27,43,23,19,22,23,32,15,16,13,21,24,16,17,30,13,11,19,28,17,25,36,32,20,21,22,31,28,23,23,31,23
" ","Clare (County Council)",45,41,41,56,33,38,38,37,26,30,24,32,23,34,31,28,20,38,27,30,27,31,37,52,35,31,44,32,40,36,49,45,42
" ","Cork (County Council)",148,172,153,184,119,109,106,125,82,86,98,93,78,96,92,120,75,102,109,129,77,108,136,127,109,113,156,156,140,166,133,170,127
" ","Donegal (County Council)",82,106,99,78,69,65,83,76,41,56,51,74,53,57,45,74,45,51,39,62,52,62,61,67,63,59,69,73,74,74,86,82,67
" ","Fingal (County Council)",17,22,16,10,8,13,15,18,4,11,10,11,8,12,19,13,13,13,16,27,28,15,22,20,21,23,25,18,8,29,24,33,18
" ","Galway (County Council)",92,104,95,107,66,69,69,85,71,57,58,65,60,54,67,64,59,57,72,93,72,81,81,90,76,83,96,109,83,103,101,115,100
" ","Kerry (County Council)",51,65,55,69,41,46,39,59,32,42,47,51,29,37,39,42,24,38,47,49,31,46,57,56,41,62,54,53,47,46,61,43,48
" ","Kildare (County Council)",37,36,35,51,24,32,27,38,16,18,27,28,25,22,17,32,28,28,33,35,22,34,36,42,35,38,45,50,27,38,44,49,43
" ","Kilkenny (County Council)",36,41,45,46,26,18,21,22,19,23,29,23,15,21,24,34,17,22,29,26,24,28,29,36,37,34,47,41,28,33,30,59,41
" ","Laois (County Council)",22,26,21,20,19,27,22,22,9,17,16,21,10,12,13,21,14,14,17,11,17,20,13,16,24,21,20,33,24,28,30,36,24
" ","Leitrim (County Council)",20,13,14,15,15,7,9,9,10,8,10,9,7,7,7,14,11,10,12,14,6,12,11,15,7,7,18,11,9,13,9,7,4
" ","Longford (County Council)",9,12,8,13,7,11,16,7,8,7,7,9,12,7,9,8,4,6,8,8,11,6,13,13,6,12,13,12,14,12,8,17,12
" ","Louth (County Council)",34,28,25,29,13,22,20,34,15,23,14,24,23,19,17,18,22,16,17,20,12,14,17,26,19,21,31,29,24,30,37,47,29
" ","Mayo (County Council)",64,46,75,74,35,50,53,45,34,42,35,54,32,47,43,50,33,39,52,44,33,51,57,72,26,69,48,49,48,57,61,72,50
" ","Meath (County Council)",57,55,52,55,35,38,31,52,23,28,23,41,28,35,35,46,33,36,43,58,37,52,61,61,33,66,65,87,53,62,73,80,61
" ","Monaghan (County Council)",23,20,29,27,20,18,26,15,13,13,18,29,11,15,21,16,13,22,28,26,17,17,19,18,20,17,23,34,22,28,30,31,31
" ","Offaly (County Council)",23,32,24,19,15,18,18,24,12,14,8,17,13,11,16,15,8,20,32,19,14,17,18,18,15,22,25,18,16,20,20,21,27
" ","Roscommon (County Council)",26,29,30,31,17,24,14,16,21,15,13,22,15,10,15,23,9,18,16,16,14,17,19,13,12,14,23,26,17,23,23,28,35
" ","Sligo (County Council)",38,27,25,23,27,20,22,16,26,15,22,19,9,20,12,18,12,8,21,17,13,21,15,18,17,20,23,28,17,19,28,32,10
" ","Westmeath (County Council)",22,30,21,22,24,18,20,18,13,17,17,14,14,12,15,27,11,10,22,22,15,18,23,24,15,20,32,33,29,27,33,38,31
" ","Wexford (County Council)",65,67,61,49,45,44,35,49,29,33,58,51,28,37,40,57,45,37,49,48,35,55,50,60,54,51,54,60,60,60,74,62,64
" ","Wicklow (County Council)",40,21,42,30,18,19,23,25,23,22,20,18,18,25,17,27,30,22,30,23,22,18,29,37,35,40,31,30,25,29,32,40,28
" ","Cork (City Council)",5,3,1,0,1,3,2,2,3,4,2,2,0,3,2,4,3,0,1,7,2,4,5,4,2,5,6,7,3,7,7,8,7
" ","Dublin (City Council)",6,13,17,8,7,11,8,8,4,12,10,10,5,11,10,10,9,16,13,8,10,8,11,16,14,19,26,22,17,11,22,17,20
" ","Dun Laoire/Rathdown (County Council)",16,12,11,14,7,8,12,13,7,14,10,11,8,8,10,16,9,8,11,14,14,16,17,21,14,22,14,25,13,17,25,14,13
" ","Galway (City Council)",3,7,5,6,4,4,1,2,3,3,6,4,1,1,3,3,6,2,4,4,3,3,3,3,4,4,4,8,4,4,9,4,5
" ","South Dublin Co. Co. (County Council)",13,7,8,9,4,6,6,13,2,3,6,9,3,6,6,9,12,8,4,12,7,13,9,16,11,23,7,14,5,9,11,21,15
" ","Limerick City and County",49,46,41,74,21,35,33,43,28,35,22,35,24,31,28,20,29,23,28,41,20,31,29,46,39,37,45,47,34,56,45,41,30
" ","Waterford City and County",35,26,23,32,11,14,17,30,20,15,18,13,13,15,10,24,11,18,23,29,12,12,16,30,30,32,14,29,23,28,29,34,29
" ","Tipperary County",40,44,60,60,31,29,48,38,23,33,19,43,25,27,32,37,31,29,37,42,24,40,38,30,29,37,34,46,26,43,36,67,51
"Scheme house"
" ","All Local Authorities",447,380,305,226,211,194,244,315,174,281,267,433,309,365,506,615,606,674,899,1115,940,1260,1225,1656,1425,1784,2012,2692,2023,2763,2839,3362,2564
