"Seasonally Adjusted Monthly Unemployment by Sex, Age Group, statistical"
"indicator and Month"

" "," "," ","1998M01","1998M02","1998M03","1998M04","1998M05","1998M06","1998M07","1998M08","1998M09","1998M10","1998M11","1998M12","1999M01","1999M02","1999M03","1999M04","1999M05","1999M06","1999M07","1999M08","1999M09","1999M10","1999M11","1999M12","2000M01","2000M02","2000M03","2000M04","2000M05","2000M06","2000M07","2000M08","2000M09","2000M10","2000M11","2000M12","2001M01","2001M02","2001M03","2001M04","2001M05","2001M06","2001M07","2001M08","2001M09","2001M10","2001M11","2001M12","2002M01","2002M02","2002M03","2002M04","2002M05","2002M06","2002M07","2002M08","2002M09","2002M10","2002M11","2002M12","2003M01","2003M02","2003M03","2003M04","2003M05","2003M06","2003M07","2003M08","2003M09","2003M10","2003M11","2003M12","2004M01","2004M02","2004M03","2004M04","2004M05","2004M06","2004M07","2004M08","2004M09","2004M10","2004M11","2004M12","2005M01","2005M02","2005M03","2005M04","2005M05","2005M06","2005M07","2005M08","2005M09","2005M10","2005M11","2005M12","2006M01","2006M02","2006M03","2006M04","2006M05","2006M06","2006M07","2006M08","2006M09","2006M10","2006M11","2006M12","2007M01","2007M02","2007M03","2007M04","2007M05","2007M06","2007M07","2007M08","2007M09","2007M10","2007M11","2007M12","2008M01","2008M02","2008M03","2008M04","2008M05","2008M06","2008M07","2008M08","2008M09","2008M10","2008M11","2008M12","2009M01","2009M02","2009M03","2009M04","2009M05","2009M06","2009M07","2009M08","2009M09","2009M10","2009M11","2009M12","2010M01","2010M02","2010M03","2010M04","2010M05","2010M06","2010M07","2010M08","2010M09","2010M10","2010M11","2010M12","2011M01","2011M02","2011M03","2011M04","2011M05","2011M06","2011M07","2011M08","2011M09","2011M10","2011M11","2011M12","2012M01","2012M02","2012M03","2012M04","2012M05","2012M06","2012M07","2012M08","2012M09","2012M10","2012M11","2012M12","2013M01","2013M02","2013M03","2013M04","2013M05","2013M06","2013M07","2013M08","2013M09","2013M10","2013M11","2013M12","2014M01","2014M02","2014M03","2014M04","2014M05","2014M06","2014M07","2014M08","2014M09","2014M10","2014M11","2014M12","2015M01","2015M02","2015M03","2015M04","2015M05","2015M06","2015M07","2015M08","2015M09","2015M10","2015M11","2015M12","2016M01","2016M02","2016M03","2016M04","2016M05","2016M06","2016M07","2016M08","2016M09","2016M10","2016M11","2016M12","2017M01","2017M02","2017M03","2017M04","2017M05","2017M06","2017M07","2017M08","2017M09","2017M10","2017M11","2017M12","2018M01","2018M02","2018M03","2018M04","2018M05","2018M06","2018M07","2018M08","2018M09","2018M10","2018M11","2018M12","2019M01","2019M02","2019M03","2019M04","2019M05","2019M06"
"Both sexes"
" ","15 - 24 years"
" "," ","Seasonally Adjusted Monthly Unemployment (Thousand)",56.7,55.5,53.1,49.0,46.1,44.6,43.3,42.6,42.3,41.8,41.2,41.6,40.9,40.1,39.9,39.4,38.9,37.5,36.2,35.3,35.4,34.7,34.0,33.1,32.4,31.6,31.1,31.4,30.6,30.3,30.0,29.5,28.3,27.3,26.7,26.6,26.8,27.0,27.3,28.1,28.8,30.0,31.7,32.5,32.8,33.1,33.9,33.1,33.3,34.3,35.0,35.2,35.0,33.7,32.3,31.7,34.1,37.6,40.0,40.3,37.9,36.4,35.3,35.2,35.4,36.2,37.2,37.0,37.1,35.4,35.4,36.1,37.8,38.4,37.5,34.8,34.3,35.1,35.6,36.3,37.7,36.9,36.4,35.9,34.2,33.6,34.8,36.2,37.2,37.5,37.5,37.6,37.0,36.2,36.2,36.7,38.0,38.6,38.9,38.9,38.9,39.3,39.6,39.8,38.5,36.3,35.3,36.9,39.7,41.0,42.5,43.7,43.1,43.0,41.2,40.8,40.8,42.0,43.5,44.6,45.7,46.7,47.4,48.3,50.4,54.7,61.7,67.0,69.4,69.6,71.8,73.7,78.4,82.8,87.8,93.7,97.1,97.1,95.7,95.1,98.5,100.0,102.1,100.7,96.6,93.2,91.7,90.4,90.3,88.8,88.3,88.8,92.6,95.5,97.7,96.4,93.2,90.6,88.1,85.6,83.9,83.5,84.0,90.3,85.9,90.1,92.7,90.9,90.5,91.2,90.6,90.1,89.6,90.8,90.0,88.3,86.3,83.7,81.3,79.2,78.1,79.0,79.1,79.5,79.7,77.9,75.5,72.8,71.8,70.5,69.4,69.9,71.1,72.4,71.5,68.5,66.2,63.9,62.4,60.6,58.7,56.9,56.8,58.5,62.2,63.1,61.0,56.1,53.5,51.9,51.8,51.9,53.1,53.1,52.9,51.5,48.4,48.1,49.4,50.9,51.9,51.4,49.5,48.6,47.3,48.0,47.1,44.7,40.9,39.2,40.7,42.3,43.2,42.2,39.8,38.1,37.5,37.0,36.3,36.3,36.4,37.1,39.2,40.1,41.3,40.5,39.9,39.3,38.6,37.9,37.2,37.3,37.3,35.4,32.6,29.6,28.9,29.6
" "," ","Seasonally Adjusted Monthly Unemployment Rate (%)",13.5,13.4,12.9,12.1,11.5,11.1,10.7,10.5,10.4,10.3,10.1,10.1,9.8,9.5,9.4,9.2,9.1,8.7,8.4,8.2,8.2,8.1,7.9,7.7,7.6,7.4,7.3,7.3,7.1,7.0,6.9,6.8,6.6,6.4,6.3,6.3,6.4,6.5,6.6,6.8,6.9,7.2,7.5,7.7,7.8,7.9,8.1,7.9,8.0,8.3,8.5,8.6,8.6,8.3,7.9,7.8,8.3,9.1,9.7,9.7,9.2,8.8,8.6,8.6,8.7,8.8,9.1,9.1,9.1,8.7,8.7,8.9,9.2,9.3,9.2,8.6,8.5,8.6,8.7,8.8,9.0,8.9,8.8,8.7,8.3,8.2,8.4,8.7,8.9,9.0,9.0,9.0,8.8,8.6,8.6,8.6,8.9,9.0,9.1,9.1,9.0,9.0,9.0,9.0,8.7,8.1,7.8,8.1,8.6,8.9,9.2,9.5,9.4,9.3,9.0,8.9,8.9,9.1,9.4,9.7,10.0,10.3,10.6,10.8,11.4,12.4,13.9,15.2,16.0,16.5,17.3,18.0,19.2,20.4,21.7,23.2,24.4,25.0,25.4,25.9,26.7,27.0,27.5,27.7,27.5,27.3,27.2,27.0,27.1,27.0,27.2,27.9,29.0,30.0,30.7,30.5,29.7,29.2,28.8,28.5,28.5,28.7,29.2,31.0,29.8,30.5,31.0,30.8,31.1,31.6,31.5,31.4,31.3,31.6,31.4,31.1,30.6,29.9,29.2,28.6,28.1,28.2,28.0,28.0,27.8,27.2,26.5,25.8,25.6,25.4,25.1,25.3,25.7,26.2,26.1,25.6,24.9,23.9,23.0,22.1,21.4,20.8,20.7,21.2,22.2,22.5,22.1,20.9,20.1,19.5,19.2,19.1,19.5,19.6,19.6,19.1,17.9,17.5,17.5,17.5,17.4,17.0,16.5,16.3,16.0,16.3,16.1,15.4,14.3,13.8,14.2,14.8,15.3,15.4,15.3,14.9,14.5,13.7,13.1,13.0,13.2,13.5,14.2,14.4,14.7,14.3,13.9,13.6,13.4,13.2,13.1,13.0,12.7,12.0,11.3,10.3,10.0,10.1
" ","15 - 74 years"
" "," ","Seasonally Adjusted Monthly Unemployment (Thousand)",154.6,156.2,152.1,142.3,135.6,131.1,129.6,127.4,124.9,120.3,115.6,115.6,115.1,112.8,112.3,111.1,110.7,106.3,102.2,99.0,99.7,100.6,98.6,96.1,92.2,89.3,87.5,89.3,87.6,85.9,83.4,81.5,78.1,75.2,73.6,73.8,74.3,74.1,73.7,73.8,74.9,77.6,81.9,84.6,85.1,84.4,85.3,83.8,85.3,87.4,89.6,89.3,90.0,88.6,85.3,85.7,91.4,99.8,104.6,104.8,98.6,94.5,91.9,93.0,93.0,95.9,99.1,99.9,98.8,94.6,93.7,96.6,102.8,104.6,103.2,96.9,94.0,91.5,90.4,90.9,94.3,97.3,97.2,96.9,92.0,90.4,95.2,100.5,104.6,104.2,102.4,101.3,99.0,97.9,98.7,99.9,102.9,103.1,103.1,103.3,104.0,107.0,110.5,113.4,110.2,105.9,104.5,107.0,110.6,113.0,114.4,115.6,115.2,115.8,113.6,113.8,116.0,120.1,124.3,124.7,124.5,124.6,129.2,131.1,137.8,148.1,163.1,175.4,183.1,190.2,200.0,210.5,234.5,253.1,269.5,282.9,292.5,295.5,299.3,303.8,312.4,312.2,315.3,313.9,313.4,310.1,313.6,319.6,326.0,323.1,321.7,325.1,334.8,344.0,349.2,351.0,342.8,336.7,333.9,333.5,334.7,336.7,343.2,347.7,346.6,349.4,353.7,354.0,356.3,356.4,353.0,345.5,343.1,344.1,345.3,343.8,340.6,335.5,331.5,327.5,323.7,322.9,323.5,325.2,324.9,317.5,306.8,297.6,293.9,290.0,288.3,288.1,290.1,290.5,285.5,278.3,272.7,267.5,266.5,263.1,258.0,250.3,244.7,242.3,242.9,242.3,239.0,234.0,231.0,225.5,219.5,216.9,217.0,217.4,216.4,213.3,205.4,203.9,204.7,206.7,207.7,205.1,197.7,193.4,184.0,178.2,174.7,172.3,171.6,170.6,165.3,159.2,156.0,154.5,156.1,154.5,154.9,153.3,150.2,145.6,139.5,137.7,138.9,140.9,142.6,140.2,137.2,133.7,133.9,135.3,134.7,132.0,126.0,120.4,114.2,111.9,109.4,109.7
" "," ","Seasonally Adjusted Monthly Unemployment Rate (%)",8.9,9.1,8.9,8.3,7.9,7.7,7.5,7.4,7.2,7.0,6.7,6.6,6.5,6.4,6.3,6.2,6.2,5.9,5.7,5.5,5.5,5.5,5.4,5.3,5.0,4.9,4.8,4.8,4.7,4.6,4.5,4.4,4.2,4.0,3.9,4.0,4.0,4.0,3.9,3.9,4.0,4.1,4.3,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.6,4.6,4.7,4.6,4.4,4.4,4.7,5.1,5.3,5.3,5.0,4.8,4.7,4.7,4.7,4.9,5.0,5.1,5.0,4.8,4.7,4.8,5.1,5.2,5.1,4.8,4.7,4.5,4.4,4.5,4.6,4.7,4.7,4.7,4.4,4.3,4.5,4.8,4.9,4.9,4.8,4.7,4.6,4.5,4.6,4.6,4.7,4.7,4.7,4.7,4.7,4.8,5.0,5.1,4.9,4.7,4.6,4.7,4.8,4.9,4.9,5.0,5.0,5.0,4.9,4.9,5.0,5.1,5.3,5.3,5.3,5.3,5.5,5.6,5.9,6.3,6.9,7.4,7.8,8.1,8.5,9.0,10.1,10.9,11.7,12.2,12.6,12.8,13.0,13.3,13.6,13.7,13.8,13.8,13.9,13.8,13.9,14.2,14.5,14.4,14.3,14.5,14.9,15.4,15.6,15.7,15.4,15.1,15.0,15.0,15.0,15.2,15.5,15.7,15.7,15.7,15.8,15.9,16.0,16.0,15.9,15.6,15.5,15.5,15.6,15.5,15.4,15.2,15.0,14.8,14.6,14.5,14.5,14.5,14.5,14.1,13.7,13.3,13.1,12.9,12.8,12.8,12.9,12.9,12.7,12.5,12.2,12.0,11.9,11.7,11.4,11.1,10.8,10.7,10.7,10.7,10.5,10.3,10.2,9.9,9.7,9.5,9.5,9.5,9.5,9.3,9.0,8.9,8.9,8.9,8.9,8.8,8.5,8.3,7.9,7.7,7.5,7.4,7.4,7.3,7.1,6.8,6.7,6.6,6.7,6.6,6.6,6.5,6.3,6.2,5.9,5.8,5.9,5.9,6.0,5.9,5.7,5.6,5.6,5.7,5.6,5.5,5.2,5.0,4.7,4.6,4.5,4.5
" ","25 - 74 years"
" "," ","Seasonally Adjusted Monthly Unemployment (Thousand)",97.9,100.6,99.0,93.3,89.5,86.5,86.3,84.7,82.6,78.4,74.4,74.0,74.3,72.7,72.4,71.7,71.8,68.8,66.0,63.7,64.3,66.0,64.6,63.0,59.8,57.7,56.3,57.9,57.0,55.7,53.4,52.0,49.8,47.9,47.0,47.2,47.6,47.1,46.3,45.7,46.1,47.6,50.3,52.1,52.2,51.3,51.4,50.7,52.0,53.1,54.6,54.2,55.0,54.9,53.0,54.0,57.3,62.2,64.6,64.5,60.7,58.1,56.6,57.8,57.6,59.7,61.9,62.9,61.7,59.1,58.2,60.4,65.1,66.3,65.7,62.2,59.8,56.4,54.8,54.6,56.7,60.4,60.8,61.0,57.8,56.7,60.3,64.3,67.3,66.6,64.9,63.7,62.0,61.7,62.5,63.3,64.9,64.4,64.2,64.3,65.1,67.7,70.9,73.6,71.8,69.6,69.2,70.0,70.9,72.0,71.8,71.9,72.1,72.8,72.4,73.0,75.2,78.1,80.9,80.1,78.8,77.9,81.8,82.8,87.4,93.5,101.4,108.3,113.7,120.6,128.2,136.8,156.0,170.3,181.6,189.2,195.4,198.3,203.6,208.7,214.0,212.2,213.2,213.2,216.8,216.9,221.9,229.2,235.7,234.3,233.4,236.3,242.2,248.5,251.5,254.6,249.6,246.1,245.8,247.9,250.7,253.3,259.3,257.4,260.7,259.3,261.0,263.1,265.8,265.2,262.4,255.4,253.5,253.3,255.2,255.5,254.3,251.8,250.2,248.3,245.6,243.8,244.5,245.7,245.1,239.5,231.2,224.8,222.1,219.5,218.9,218.2,219.0,218.2,214.0,209.8,206.5,203.6,204.1,202.5,199.3,193.4,187.9,183.8,180.7,179.2,178.0,178.0,177.5,173.6,167.8,165.0,163.9,164.2,163.5,161.8,157.0,155.8,155.3,155.8,155.8,153.8,148.2,144.8,136.6,130.3,127.6,127.6,130.7,131.3,124.6,116.9,112.8,112.3,116.2,116.4,117.4,116.2,113.9,109.3,103.1,100.6,99.7,100.8,101.2,99.6,97.2,94.4,95.3,97.5,97.5,94.6,88.7,85.0,81.5,82.3,80.4,80.1
" "," ","Seasonally Adjusted Monthly Unemployment Rate (%)",7.5,7.7,7.6,7.2,6.8,6.6,6.6,6.4,6.2,5.9,5.6,5.6,5.5,5.4,5.3,5.3,5.3,5.0,4.8,4.6,4.7,4.7,4.6,4.5,4.3,4.1,4.0,4.1,4.0,3.9,3.8,3.6,3.5,3.3,3.3,3.3,3.3,3.2,3.2,3.1,3.1,3.2,3.4,3.5,3.5,3.4,3.4,3.4,3.5,3.5,3.6,3.6,3.6,3.6,3.5,3.5,3.7,4.1,4.2,4.2,3.9,3.8,3.6,3.7,3.7,3.8,4.0,4.0,3.9,3.7,3.7,3.8,4.1,4.1,4.1,3.9,3.7,3.5,3.4,3.4,3.5,3.7,3.7,3.7,3.5,3.4,3.6,3.8,4.0,3.9,3.8,3.7,3.6,3.6,3.6,3.6,3.7,3.6,3.6,3.6,3.7,3.8,4.0,4.1,4.0,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.0,4.1,4.3,4.2,4.1,4.1,4.3,4.3,4.6,4.9,5.3,5.7,5.9,6.3,6.7,7.1,8.2,8.9,9.5,9.9,10.2,10.4,10.6,10.9,11.1,11.1,11.2,11.2,11.3,11.3,11.6,12.0,12.3,12.2,12.2,12.3,12.6,13.0,13.1,13.3,13.0,12.9,12.8,12.9,13.0,13.1,13.4,13.4,13.5,13.4,13.5,13.6,13.7,13.7,13.6,13.3,13.2,13.2,13.2,13.2,13.2,13.0,12.9,12.8,12.7,12.6,12.6,12.6,12.5,12.2,11.8,11.5,11.3,11.2,11.1,11.1,11.1,11.1,10.9,10.7,10.5,10.3,10.3,10.2,10.1,9.8,9.5,9.3,9.1,9.0,8.9,8.9,8.9,8.7,8.4,8.2,8.2,8.2,8.1,8.0,7.8,7.7,7.7,7.7,7.7,7.6,7.3,7.1,6.7,6.4,6.3,6.3,6.4,6.4,6.1,5.7,5.5,5.5,5.6,5.6,5.6,5.6,5.4,5.2,4.9,4.8,4.8,4.8,4.8,4.7,4.6,4.5,4.5,4.6,4.6,4.5,4.2,4.0,3.8,3.8,3.7,3.7
