START_DTE,END_DTE,UNEMPL_RTE,CPI,RES_PROP_PRICE_INDX_APART
01/01/1998,31/01/1998,7.5,72.6,
01/02/1998,28/02/1998,7.7,72.9,
01/03/1998,31/03/1998,7.6,73.3,
01/04/1998,30/04/1998,7.2,73.7,
01/05/1998,31/05/1998,6.8,74,
01/06/1998,30/06/1998,6.6,74.3,
01/07/1998,31/07/1998,6.6,74.1,
01/08/1998,31/08/1998,6.4,74.3,
01/09/1998,30/09/1998,6.2,74.5,
01/10/1998,31/10/1998,5.9,74.6,
01/11/1998,30/11/1998,5.6,74.4,
01/12/1998,31/12/1998,5.6,74.3,
01/01/1999,31/01/1999,5.5,73.7,
01/02/1999,28/02/1999,5.4,74.1,
01/03/1999,31/03/1999,5.3,74.3,
01/04/1999,30/04/1999,5.3,74.7,
01/05/1999,31/05/1999,5.3,75,
01/06/1999,30/06/1999,5,75.2,
01/07/1999,31/07/1999,4.8,75,
01/08/1999,31/08/1999,4.6,75.4,
01/09/1999,30/09/1999,4.7,75.7,
01/10/1999,31/10/1999,4.7,75.7,
01/11/1999,30/11/1999,4.6,75.9,
01/12/1999,31/12/1999,4.5,76.8,
01/01/2000,31/01/2000,4.3,76.6,
01/02/2000,29/02/2000,4.1,77.2,
01/03/2000,31/03/2000,4,77.8,
01/04/2000,30/04/2000,4.1,78.3,
01/05/2000,31/05/2000,4,78.9,
01/06/2000,30/06/2000,3.9,79.4,
01/07/2000,31/07/2000,3.8,79.6,
01/08/2000,31/08/2000,3.6,80,
01/09/2000,30/09/2000,3.5,80.4,
01/10/2000,31/10/2000,3.3,80.9,
01/11/2000,30/11/2000,3.3,81.2,
01/12/2000,31/12/2000,3.3,81.3,
01/01/2001,31/01/2001,3.3,80.6,
01/02/2001,28/02/2001,3.2,81.4,
01/03/2001,31/03/2001,3.2,82,
01/04/2001,30/04/2001,3.1,82.7,
01/05/2001,31/05/2001,3.1,83.2,
01/06/2001,30/06/2001,3.2,83.6,
01/07/2001,31/07/2001,3.4,83.4,
01/08/2001,31/08/2001,3.5,83.7,
01/09/2001,30/09/2001,3.5,84.1,
01/10/2001,31/10/2001,3.4,84.3,
01/11/2001,30/11/2001,3.4,84.3,
01/12/2001,31/12/2001,3.4,84.7,
01/01/2002,31/01/2002,3.5,84.6,
01/02/2002,28/02/2002,3.5,85.1,
01/03/2002,31/03/2002,3.6,85.9,
01/04/2002,30/04/2002,3.6,86.7,
01/05/2002,31/05/2002,3.6,87.1,
01/06/2002,30/06/2002,3.6,87.3,
01/07/2002,31/07/2002,3.5,86.9,
01/08/2002,31/08/2002,3.5,87.4,
01/09/2002,30/09/2002,3.7,87.8,
01/10/2002,31/10/2002,4.1,88.3,
01/11/2002,30/11/2002,4.2,88.3,
01/12/2002,31/12/2002,4.2,88.9,
01/01/2003,31/01/2003,3.9,88.6,
01/02/2003,28/02/2003,3.8,89.4,
01/03/2003,31/03/2003,3.6,90.1,
01/04/2003,30/04/2003,3.7,90.4,
01/05/2003,31/05/2003,3.7,90.3,
01/06/2003,30/06/2003,3.8,90.3,
01/07/2003,31/07/2003,4,89.7,
01/08/2003,31/08/2003,4,90.2,
01/09/2003,30/09/2003,3.9,90.4,
01/10/2003,31/10/2003,3.7,90.3,
01/11/2003,30/11/2003,3.7,90.3,
01/12/2003,31/12/2003,3.8,90.7,
01/01/2004,31/01/2004,4.1,90.2,
01/02/2004,29/02/2004,4.1,91,
01/03/2004,31/03/2004,4.1,91.3,
