START_DTE,END_DTE,AT_WORK,AVG_INC_ALL_SMALL,AVG_INC_CNSTR_SMALL,AVG_INC_IT_SMALL,AVG_INC_PUB_ADMIN_SMALL,AVG_INC_FIN_SMALL,AVG_INC_ALL_MED,AVG_INC_CNSTR_MED,AVG_INC_IT_MED,AVG_INC_PUB_ADMIN_MED,AVG_INC_FIN_MED,AVG_INC_ALL_LRG,AVG_INC_CNSTR_LRG,AVG_INC_IT_LRG,AVG_INC_PUB_ADMIN_LRG,AVG_INC_FIN_LRG,OCCUP_AGRI,OCCUP_IND,OCCUP_CNSTR,OCCUP_RETAIL,OCCUP_TRPT,OCCUP_ACCOM,OCCUP_IT,OCCUP_FIN,OCCUP_SCI,OCCUP_ADMIN,OCCUP_PUB_ADMIN,OCCUP_EDU,OCCUP_HLTH,GNP_CURR_MKT_PRC,PLAN_PER_ALL,PLAN_PER_DWLN,PRPTY_BUILT
01/01/1998,31/03/1998,1467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16963,7822,3513,
01/04/1998,30/06/1998,1485.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17535,8794,3854,
01/07/1998,30/09/1998,1522.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17835,11336,5027,
01/10/1998,31/12/1998,1535.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18442,9271,4325,
01/01/1999,31/03/1999,1555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19206,,5201,
01/04/1999,30/06/1999,1572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19388,,5674,
01/07/1999,30/09/1999,1612.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19714,,6517,
01/10/1999,31/12/1999,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046,,6203,
01/01/2000,31/03/2000,1631.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22117,,6630,
01/04/2000,30/06/2000,1648.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23594,,6597,
01/07/2000,30/09/2000,1678.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23149,13310,6893,
01/10/2000,31/12/2000,1692.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24194,11265,6212,
01/01/2001,31/03/2001,1691.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25652,11448,6333,
01/04/2001,30/06/2001,1713.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25445,10672,5538,
01/07/2001,30/09/2001,1734.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25262,12329,6157,
01/10/2001,31/12/2001,1740.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26458,11051,5585,
01/01/2002,31/03/2002,1733.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26931,10236,5025,
01/04/2002,30/06/2002,1752.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27379,9444,4547,
01/07/2002,30/09/2002,1761.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28544,11654,5502,
01/10/2002,31/12/2002,1758.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29373,9566,4654,
01/01/2003,31/03/2003,1761.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29387,9482,4846,
01/04/2003,30/06/2003,1774.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30483,10355,5110,
01/07/2003,30/09/2003,1792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30567,11422,5583,
01/10/2003,31/12/2003,1808.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33349,10358,5410,
01/01/2004,31/03/2004,1817.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32282,11839,6887,
01/04/2004,30/06/2004,1837.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33204,13386,7563,
01/07/2004,30/09/2004,1860.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32792,13806,7100,
01/10/2004,31/12/2004,1886.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34875,11241,5962,
01/01/2005,31/03/2005,1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34994,11355,6170,
01/04/2005,30/06/2005,1917.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35521,13307,6722,
01/07/2005,30/09/2005,1948.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36362,13928,6485,
01/10/2005,31/12/2005,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38489,12014,5957,
01/01/2006,31/03/2006,1987.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39133,11890,5890,
01/04/2006,30/06/2006,2004.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39877,12892,5595,
01/07/2006,30/09/2006,2037.2,,,,,,,,,,,,,,,,115.1,322.1,237.1,307.1,91,130.9,80.7,102.9,116.7,90.7,97.2,127.2,227.1,39627,14515,6035,
01/10/2006,31/12/2006,2070.6,,,,,,,,,,,,,,,,110.2,320.4,237.3,305.8,89.6,133.4,83.9,106.2,117.5,89.6,95.6,139.7,226.5,42080,12962,5254,
01/01/2007,31/03/2007,2084.3,,,,,,,,,,,,,,,,109.5,319.1,237.2,314,91.8,142.1,81.7,104.8,120.9,91.7,94.6,140.3,230.1,42223,15388,5709,
01/04/2007,30/06/2007,2101.6,,,,,,,,,,,,,,,,109.8,318.9,240,318.2,92.2,141,87.2,106.6,123.1,98.6,95.7,139.7,229.5,41549,17311,5636,
01/07/2007,30/09/2007,2113.8,,,,,,,,,,,,,,,,113.2,325,237.1,328.4,90.8,147.5,82.6,111.5,128.2,104.4,100.6,131.7,237.9,41875,17338,5880,
01/10/2007,31/12/2007,2128.5,,,,,,,,,,,,,,,,115.3,301.1,232.6,333.8,95.7,139.8,86.3,110,126.9,101.8,97.4,139,240.5,43406,12330,5028,
01/01/2008,31/03/2008,2119.4,560.26,658.95,997.62,904.11,881,670.12,839.11,953.39,1061.51,1359.16,826.65,955.92,1021.2,957.45,1151.47,117,298.7,222.8,335.8,92.3,139.8,87.8,109,123.4,103.9,96,136.9,239.6,41754,11055,4777,
01/04/2008,30/06/2008,2111.7,570.18,668.78,904.92,1002.76,949.87,652.77,883.83,898.1,1066.54,1069.55,826.24,1046.49,941.03,975.73,1113.01,116.7,306.2,214,330.6,91.4,135.6,88,111.5,130.6,97,96.1,144.5,240.6,40484,11215,4722,
