END_DTE,UNEMPL_RTE,CPI,IT,PUB_ADMIN,FIN,ALL,GNP_CURR_MKT_PRC,PLAN_PER_DWLN,Net migration,Population,RES_PROP_PRICE_INDX_APART,PRPTY_PRICE_ACTUAL
30/04/2008,4.665077529,107.1273074,84824.43524,95461.86493,122388.3228,1457510.874,42032.52438,4760.272545,94.05273894,4436.103088,118.188933,121.1
31/05/2008,4.70294328,107.0688797,82609.51152,97150.66562,120269.0874,1455832.345,41284.37812,4776.532924,94.91350394,4435.033887,118.5210773,117.8
30/06/2008,5.012848579,107.6000115,81036.34831,98065.9679,117296.4557,1447797.928,40146.60855,4745.872358,94.69643954,4434.858524,115.8623492,114.7
31/07/2008,5.313721849,107.8728465,80704.40162,98625.23152,113723.0519,1439747.323,39649.18786,4653.903211,92.63644926,4440.013862,113.1764033,112.9
31/08/2008,5.699347151,107.4304733,81317.95721,98753.85354,109462.7914,1429186.531,39770.66076,4489.054451,86.87143133,4449.860942,110.9451222,111.8
30/09/2008,6.048962417,107.6780015,82825.97569,98551.98244,104063.0716,1415293.843,40051.97816,4244.025128,80.33995415,4463.480503,107.8946921,109.1
31/10/2008,6.237605067,107.7961853,83971.94665,98639.69575,101949.767,1411356.994,40289.42494,4051.710018,76.53702283,4476.338867,105.3004981,103.6
30/11/2008,6.651283175,107.4573313,83885.64425,98745.85066,103186.1567,1410688.856,39776.41882,3895.577484,72.89778584,4485.364439,101.5879545,99.5
31/12/2008,7.080880361,106.4332602,82773.59621,98755.19045,107371.0463,1412729.121,39006.44466,3781.837909,68.81578528,4490.402436,99.1899049,97
31/01/2009,7.496932305,105.2507024,81976.65655,98186.083,110942.039,1406986.88,38315.14081,3638.67445,62.95941788,4493.54091,97.34744947,96.5
28/02/2009,8.546964315,103.6585038,80453.25562,96258.03516,112228.1005,1376603.566,36660.70842,3421.392518,49.92127928,4489.418075,93.7790461,93.2
31/03/2009,9.204351371,103.406483,80487.12403,94622.30363,111610.7395,1349663.74,35514.74014,3202.692243,41.63355722,4488.892177,89.45353065,89.9
30/04/2009,9.762027268,103.4327563,80683.36422,94045.23389,109698.8212,1326798.444,34690.09606,2970.591439,34.22268327,4492.700544,85.53450454,86.5
31/05/2009,10.16019595,102.6911777,80875.8966,95025.55125,107906.9211,1316940.195,34657.22733,2794.865919,28.11188514,4501.010195,83.72913209,85.9
30/06/2009,10.44833939,102.1053314,80744.73904,97013.92921,104811.0697,1310547.671,34927.03017,2622.088989,22.25472637,4511.922407,83.37582406,84.6
31/07/2009,10.64961298,101.7533531,80531.68745,97994.96185,102447.0179,1305031.316,35119.0614,2502.095036,18.22258276,4519.088805,82.74266398,83.2
31/08/2009,10.86918399,101.0441335,79932.62195,97553.55539,101459.0129,1298238.348,35180.42898,2441.179709,14.32989446,4520.606355,82.21675448,80.9
30/09/2009,11.15973856,101.3991211,79161.14989,95831.45612,100513.3924,1285562.969,34553.35591,2382.600206,11.67245786,4517.807488,79.61613595,78.1
31/10/2009,11.36833011,101.0789976,79490.80107,94802.46456,101793.6842,1283700.931,34462.96783,2318.863311,8.806348537,4521.15963,77.88125754,76.4
